,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,13,12,7,6,7,5,6,15,16,12,16,16,16,16,13
1,10,0,16,16,9,8,7,7,16,7,13,6,9,9,7,12
2,8,16,9,17,17,17,6,17,6,6,11,17,8,5,0,14
3,9,8,0,8,2,15,20,12,20,11,17,8,5,8,8,6
4,17,11,8,9,8,6,12,13,7,12,6,9,2,4,5,7
5,20,7,20,15,4,0,15,8,14,18,3,4,19,6,17,5
6,11,5,5,5,0,19,17,9,18,15,14,20,6,13,15,1
7,0,1,13,14,12,3,11,20,17,14,16,5,20,10,18,17
8,19,12,17,19,20,5,4,2,2,2,20,7,3,17,4,8
9,7,15,1,10,3,4,9,10,8,9,10,2,10,12,12,16
10,13,4,7,4,5,9,8,16,4,17,4,18,7,7,9,0
11,6,6,4,12,19,20,18,5,5,4,9,14,0,15,19,15
12,4,3,6,3,16,2,3,4,1,10,7,10,12,2,11,20
13,5,19,2,0,10,10,2,1,9,5,19,19,11,3,3,4
14,1,20,10,6,15,18,14,18,12,3,0,3,14,1,10,19
15,3,17,15,20,7,1,19,14,19,1,5,15,4,19,1,3
16,14,10,14,13,1,12,16,19,0,0,2,1,15,11,14,2
17,16,14,19,11,13,13,0,11,11,20,1,11,1,14,6,11
18,12,2,18,1,11,16,10,15,10,8,15,0,17,0,20,18
19,15,18,3,2,14,11,1,3,3,19,8,13,18,18,13,9
20,18,9,11,18,18,14,13,0,13,13,18,12,13,20,2,10
